# N             E       lndos(E)        epsilon     c_ges
256.000     -1281.600     -1729.422     -0.400     0.001
256.000     -1287.600     -1738.368     -0.400     0.001
256.000     -1288.000     -1738.953     -0.400     0.001
256.000     -1288.400     -1739.557     -0.400     0.001
256.000     -1288.800     -1740.161     -0.400     0.001
256.000     -1295.200     -1749.754     -0.400     0.001
256.000     -1294.800     -1749.168     -0.400     0.001
256.000     -1294.400     -1748.556     -0.400     0.001
256.000     -1294.000     -1747.951     -0.400     0.001
256.000     -1293.600     -1747.344     -0.400     0.001
256.000     -1293.200     -1746.743     -0.400     0.001
256.000     -1292.800     -1746.150     -0.400     0.001
256.000     -1296.000     -1750.956     -0.400     0.001
256.000     -1292.400     -1745.545     -0.400     0.001
256.000     -1291.600     -1744.329     -0.400     0.001
256.000     -1291.200     -1743.737     -0.400     0.001
256.000     -1290.800     -1743.152     -0.400     0.001
256.000     -1290.400     -1742.540     -0.400     0.001
256.000     -1290.000     -1741.942     -0.400     0.001
256.000     -1289.600     -1741.341     -0.400     0.001
256.000     -1289.200     -1740.752     -0.400     0.001
256.000     -1292.000     -1744.937     -0.400     0.001
256.000     -1374.000     -1867.440     -0.400     0.001
256.000     -1374.400     -1868.048     -0.400     0.001
256.000     -1374.800     -1868.640     -0.400     0.001
256.000     -1459.200     -2000.438     -0.400     0.001
256.000     -1458.800     -1999.643     -0.400     0.001
256.000     -1458.400     -1998.849     -0.400     0.001
256.000     -1458.000     -1998.045     -0.400     0.001
256.000     -1457.600     -1997.245     -0.400     0.001
256.000     -1457.200     -1996.461     -0.400     0.001
256.000     -1456.800     -1995.657     -0.400     0.001
256.000     -1456.400     -1994.846     -0.400     0.001
256.000     -1456.000     -1994.075     -0.400     0.001
256.000     -1455.600     -1993.272     -0.400     0.001
256.000     -1455.200     -1992.477     -0.400     0.001
256.000     -1454.800     -1991.692     -0.400     0.001
256.000     -1454.400     -1990.892     -0.400     0.001
256.000     -1454.000     -1990.100     -0.400     0.001
256.000     -1453.600     -1989.303     -0.400     0.001
256.000     -1459.600     -2001.230     -0.400     0.001
256.000     -1460.000     -2002.019     -0.400     0.001
256.000     -1460.400     -2002.820     -0.400     0.001
256.000     -1460.800     -2003.631     -0.400     0.001
256.000     -1467.200     -2016.521     -0.400     0.001
256.000     -1466.800     -2015.697     -0.400     0.001
256.000     -1466.400     -2014.899     -0.400     0.001
256.000     -1466.000     -2014.076     -0.400     0.001
256.000     -1465.600     -2013.281     -0.400     0.001
256.000     -1465.200     -2012.463     -0.400     0.001
256.000     -1464.800     -2011.673     -0.400     0.001
256.000     -1453.200     -1988.512     -0.400     0.001
256.000     -1464.400     -2010.881     -0.400     0.001
256.000     -1463.600     -2009.275     -0.400     0.001
256.000     -1463.200     -2008.441     -0.400     0.001
256.000     -1462.800     -2007.667     -0.400     0.001
256.000     -1462.400     -2006.839     -0.400     0.001
256.000     -1462.000     -2006.041     -0.400     0.001
256.000     -1461.600     -2005.247     -0.400     0.001
256.000     -1461.200     -2004.435     -0.400     0.001
256.000     -1464.000     -2010.066     -0.400     0.001
256.000     -1467.600     -2017.322     -0.400     0.001
256.000     -1452.800     -1987.720     -0.400     0.001
256.000     -1452.000     -1986.147     -0.400     0.001
256.000     -1443.600     -1969.574     -0.400     0.001
256.000     -1443.200     -1968.778     -0.400     0.001
256.000     -1442.800     -1967.995     -0.400     0.001
256.000     -1442.400     -1967.189     -0.400     0.001
256.000     -1442.000     -1966.417     -0.400     0.001
256.000     -1441.600     -1965.650     -0.400     0.001
256.000     -1441.200     -1964.866     -0.400     0.001
256.000     -1440.800     -1964.091     -0.400     0.001
256.000     -1440.400     -1963.299     -0.400     0.001
256.000     -1440.000     -1962.513     -0.400     0.001
256.000     -1439.600     -1961.727     -0.400     0.001
256.000     -1439.200     -1960.946     -0.400     0.001
256.000     -1438.800     -1960.163     -0.400     0.001
256.000     -1438.400     -1959.395     -0.400     0.001
256.000     -1438.000     -1958.590     -0.400     0.001
256.000     -1444.000     -1970.356     -0.400     0.001
256.000     -1444.400     -1971.138     -0.400     0.001
256.000     -1444.800     -1971.914     -0.400     0.001
256.000     -1445.200     -1972.701     -0.400     0.001
256.000     -1451.600     -1985.339     -0.400     0.001
256.000     -1451.200     -1984.553     -0.400     0.001
256.000     -1450.800     -1983.757     -0.400     0.001
256.000     -1450.400     -1982.945     -0.400     0.001
256.000     -1450.000     -1982.163     -0.400     0.001
256.000     -1449.600     -1981.371     -0.400     0.001
256.000     -1449.200     -1980.566     -0.400     0.001
256.000     -1452.400     -1986.924     -0.400     0.001
256.000     -1448.800     -1979.791     -0.400     0.001
256.000     -1448.000     -1978.210     -0.400     0.001
256.000     -1447.600     -1977.427     -0.400     0.001
256.000     -1447.200     -1976.628     -0.400     0.001
256.000     -1446.800     -1975.865     -0.400     0.001
256.000     -1446.400     -1975.052     -0.400     0.001
256.000     -1446.000     -1974.271     -0.400     0.001
256.000     -1445.600     -1973.490     -0.400     0.001
256.000     -1448.400     -1978.997     -0.400     0.001
256.000     -1437.600     -1957.816     -0.400     0.001
256.000     -1468.000     -2018.127     -0.400     0.001
256.000     -1468.800     -2019.752     -0.400     0.001
256.000     -1490.400     -2063.583     -0.400     0.001
256.000     -1490.000     -2062.775     -0.400     0.001
256.000     -1489.600     -2061.947     -0.400     0.001
256.000     -1489.200     -2061.132     -0.400     0.001
256.000     -1488.800     -2060.328     -0.400     0.001
256.000     -1488.400     -2059.518     -0.400     0.001
